location,princ,irate,cscore,result
suburban,663,7.25,656,default
urban,731,7.25,630,default
rural,666,7.25,662,default
suburban,646,7.25,636,default
urban,647,7.25,606,default
suburban,610,7.25,753,default
urban,236,7.25,444,non-default
suburban,440,7.5,677,non-default
urban,797,6.75,766,non-default
urban,404,7,625,non-default
suburban,1014,7.25,724,default
suburban,749,7.75,626,default
suburban,348,7.25,556,non-default
suburban,315,7,548,non-default
urban,499,6.75,720,non-default
suburban,1023,7.25,684,default
urban,790,6.5,742,non-default
urban,535,7.5,562,default
suburban,485,7.5,755,non-default
urban,455,7,633,non-default
urban,402,7,695,non-default
suburban,988,7.5,609,non-default
rural,153,8,611,default
rural,979,8,573,non-default
urban,346,8,813,default
suburban,649,7,693,non-default
rural,516,6.75,638,non-default
suburban,480,7.5,656,non-default
suburban,110,7.75,647,default
suburban,662,7.25,704,non-default
suburban,468,7.25,695,default
suburban,365,7.5,595,non-default
urban,471,7.25,674,default
urban,262,7,604,default
rural,391,6.25,792,non-default
suburban,439,7.75,567,non-default
suburban,244,6.5,610,non-default
suburban,806,7.25,709,default
urban,455,7.5,545,default
urban,534,7,612,default
suburban,777,7.25,710,default
urban,182,8,689,default
suburban,661,7.5,651,default
suburban,311,6.75,681,non-default
suburban,501,7.5,662,non-default
suburban,787,7.25,722,default
suburban,744,7.5,640,default
suburban,420,7.25,619,non-default
suburban,596,7.25,677,default
suburban,327,6.75,609,non-default
suburban,743,7.25,652,default
suburban,509,8.25,654,non-default
urban,565,7.25,641,non-default
rural,322,7.25,642,non-default
suburban,332,7.25,660,non-default
urban,492,7.25,662,non-default
suburban,351,7.25,536,non-default
suburban,924,7.25,654,default
suburban,300,7,726,non-default
rural,926,7.25,755,default
suburban,498,7.25,769,non-default
suburban,796,7.5,665,non-default
suburban,417,7,711,non-default
suburban,587,7,716,default
rural,426,7,631,non-default
urban,257,7,677,non-default
urban,710,6.75,821,non-default
rural,1158,7.5,701,default
rural,896,7.25,683,default
suburban,192,7.75,634,default
urban,701,7,670,default
urban,472,7.5,542,default
suburban,787,7.25,735,default
rural,357,7,594,non-default
rural,521,7.25,702,default
suburban,826,7.5,580,default
rural,397,7.5,556,non-default
suburban,284,7,647,non-default
urban,455,7.25,640,default
suburban,511,7.75,696,non-default
suburban,710,8,551,default
suburban,769,7.75,491,default
rural,336,7,623,non-default
suburban,482,7.75,587,non-default
rural,859,7.25,650,default
suburban,592,6.75,691,non-default
suburban,395,7.25,674,non-default
urban,626,7.25,690,default
suburban,618,7.25,663,default
suburban,429,7.25,743,non-default
suburban,189,6.25,633,default
suburban,936,7.25,765,default
suburban,872,7.25,692,default
rural,999,7.25,708,default
rural,1072,7.25,780,default
rural,529,7,791,non-default
urban,195,7,446,default
suburban,728,7.25,655,default
rural,452,7.25,621,non-default
rural,291,7.75,643,default
suburban,753,7.75,652,default
urban,307,7,705,default
urban,554,7.25,607,default
suburban,786,7.5,683,non-default
suburban,452,7.5,653,non-default
urban,430,7.5,589,default
suburban,460,7.25,637,non-default
rural,404,7.25,545,non-default
rural,984,7.25,707,default
suburban,795,7.25,725,default
urban,618,7.25,691,default
rural,747,6.75,668,non-default
urban,534,7,720,default
rural,161,7.5,628,default
suburban,287,8,668,default
rural,298,7.25,533,non-default
urban,534,7.5,588,default
rural,425,7.5,590,non-default
urban,314,7.75,735,default
urban,476,7.25,585,default
suburban,409,7.25,615,default
urban,292,7.25,624,default
suburban,311,6.5,579,non-default
suburban,329,7,561,non-default
suburban,402,7.5,644,non-default
rural,1078,7.25,755,default
suburban,421,7.5,678,non-default
urban,449,7.25,565,default
suburban,938,7.25,643,default
suburban,494,8,670,non-default
urban,250,7.5,429,default
rural,399,7.5,637,default
suburban,632,7.5,566,default
urban,434,6.75,742,non-default
suburban,516,8,683,non-default
rural,260,7.75,611,default
rural,1137,7.25,717,default
suburban,396,7,709,non-default
suburban,819,7.25,644,default
suburban,667,7,755,default
urban,459,7,681,default
urban,368,7,708,default
urban,70,7,668,non-default
urban,291,7,634,non-default
urban,223,7,728,default
suburban,772,7,746,default
rural,550,7,640,non-default
suburban,792,7,661,non-default
suburban,308,7.25,649,non-default
urban,232,7,664,non-default
urban,393,7,721,default
rural,573,7.25,632,non-default
suburban,812,7.25,722,default
suburban,532,7.75,661,default
suburban,428,7,709,non-default
urban,373,8,680,default
rural,876,7.25,675,default
urban,760,7.25,729,default
rural,923,6.5,499,default
urban,742,7.5,640,non-default
suburban,463,7.5,676,non-default
rural,466,7.25,615,non-default
rural,345,7.25,600,non-default
rural,859,6.75,642,non-default
rural,238,7.25,620,non-default
suburban,619,6.75,706,non-default
suburban,990,7.5,704,non-default
suburban,581,7.75,528,default
urban,213,7.25,641,default
rural,355,8,797,default
suburban,495,7.25,702,default
suburban,348,7.5,503,non-default
suburban,680,7,687,non-default
rural,695,6.5,626,non-default
suburban,664,7,751,default
suburban,645,7.25,673,non-default
urban,362,7.75,581,non-default
rural,779,7.25,740,default
suburban,728,7,724,default
urban,332,7.5,550,default
rural,315,7.75,604,default
suburban,511,7.25,651,non-default
suburban,571,7,687,non-default
suburban,619,7.25,759,default
suburban,332,6.75,580,non-default
suburban,751,6.75,722,non-default
rural,653,7.25,795,default
suburban,424,7.25,590,non-default
suburban,869,8,621,non-default
suburban,590,7,648,non-default
suburban,483,7.5,733,non-default
suburban,436,7,677,non-default
suburban,482,7.25,714,non-default
urban,745,6.75,756,default
rural,276,7.25,781,non-default
urban,384,7.25,679,default
suburban,311,6.75,644,non-default
urban,98,8,683,default
suburban,302,7.25,540,default
urban,442,7.75,493,default
suburban,486,7,700,default
suburban,622,7.25,577,default
suburban,787,7.5,631,default
urban,646,7,711,non-default
suburban,772,7.5,613,non-default
suburban,715,7.5,668,default
suburban,704,6.75,674,non-default
rural,709,7.25,742,default
suburban,465,7.25,723,default
urban,140,7,723,non-default
suburban,636,7.5,664,default
rural,753,6.75,646,non-default
suburban,776,7.25,730,default
suburban,290,7,619,non-default
suburban,202,7.5,652,default
suburban,609,7,682,non-default
rural,845,6.5,624,non-default
urban,207,7.25,581,non-default
rural,293,7.25,600,non-default
suburban,377,7,715,default
rural,288,7.5,566,default
suburban,785,7.25,739,default
suburban,467,7,658,non-default
rural,1039,7.25,661,default
suburban,740,7,725,default
suburban,912,7.25,651,default
suburban,514,7.25,678,non-default
suburban,393,7.5,661,default
suburban,546,7,780,default
suburban,880,7.25,765,default
urban,520,7.5,550,default
suburban,748,7.25,681,default
suburban,419,7.75,572,default
urban,170,8,726,default
suburban,467,7.25,717,default
urban,203,7.25,644,non-default
suburban,295,7.75,639,default
suburban,338,7,664,non-default
suburban,749,7.5,646,default
urban,387,7.25,722,default
rural,247,7.75,609,default
urban,562,7.25,483,default
rural,70,6.75,687,default
urban,600,7,684,default
rural,473,7.5,606,default
suburban,623,7.5,642,default
suburban,965,7.25,721,default
suburban,417,7.25,681,default
urban,335,7.25,673,default
suburban,652,7.75,588,non-default
suburban,848,7.25,690,default
suburban,709,7,672,non-default
urban,501,7.5,627,default
rural,345,7.5,618,non-default
urban,631,7.25,651,default
urban,601,7,608,non-default
suburban,618,7.25,632,default
urban,318,7,695,default
suburban,274,7,638,non-default
rural,293,7,742,default
suburban,431,7.25,651,default
urban,566,7.25,770,default
rural,1054,7.25,696,default
urban,569,7.25,662,non-default
suburban,438,7.5,761,non-default
suburban,278,7.75,657,default
suburban,291,8,618,default
suburban,422,7,740,default
urban,521,7.5,608,default
suburban,406,7.25,729,non-default
rural,318,7.5,594,non-default
suburban,411,7,630,default
suburban,790,7,699,default
rural,462,7.5,615,non-default
urban,595,7,843,non-default
rural,417,7.75,760,non-default
suburban,377,7.5,587,default
suburban,275,7,738,default
suburban,675,7.25,707,default
rural,452,7.5,599,non-default
urban,658,7,737,non-default
suburban,742,6.75,727,non-default
rural,1245,7.5,671,default
suburban,405,7.25,660,non-default
urban,509,7.75,511,default
suburban,332,6.75,620,non-default
suburban,55,8.25,649,default
suburban,744,7.5,656,default
rural,415,7.5,629,default
suburban,769,7.25,757,non-default
suburban,619,7.75,620,default
rural,469,7.25,624,non-default
urban,316,7.25,566,default
urban,124,7,650,non-default
suburban,691,7.75,599,default
urban,376,7.5,581,default
rural,1328,7.25,731,default
suburban,520,7.5,686,default
rural,411,7,593,non-default
suburban,686,7.25,677,default
suburban,986,7.5,719,non-default
suburban,407,7.5,646,non-default
suburban,743,7,752,default
urban,351,7.25,800,non-default
suburban,750,7.25,663,default
suburban,253,6.75,607,default
suburban,626,7.5,556,default
suburban,851,7,730,default
urban,450,7.25,609,default
suburban,326,7,651,non-default
urban,540,7,743,non-default
suburban,685,7,722,non-default
suburban,924,7,839,non-default
rural,839,6.5,662,non-default
urban,541,7.5,638,default
urban,666,7.5,683,default
suburban,315,7.5,662,default
suburban,269,6.75,678,non-default
suburban,813,7.25,694,default
suburban,1057,6.5,684,non-default
suburban,760,7.25,737,non-default
suburban,707,7.25,661,default
suburban,851,7.25,671,default
suburban,568,7.5,647,non-default
urban,433,7.5,596,default
suburban,608,7.25,691,default
rural,290,7.25,639,default
rural,608,7,612,non-default
suburban,402,7.25,646,non-default
suburban,851,7.5,820,non-default
suburban,885,7,708,non-default
rural,527,7.25,574,non-default
suburban,392,6.5,647,default
suburban,644,6.5,689,non-default
rural,702,6.75,666,non-default
suburban,535,8,585,default
suburban,828,7.75,649,default
urban,262,7.25,589,default
urban,307,7.75,467,default
suburban,509,7.5,809,non-default
urban,465,7.25,635,non-default
rural,1151,7.5,738,default
suburban,467,7.5,657,default
urban,288,7,712,default
suburban,559,7.75,495,default
suburban,382,7.75,682,default
suburban,832,7.75,591,default
suburban,910,7.25,673,default
rural,306,7.75,611,default
suburban,700,7.5,633,default
rural,805,7.25,750,default
rural,476,7.75,597,default
rural,365,7.75,572,non-default
suburban,768,7,671,non-default
urban,500,7.25,588,default
urban,410,7.5,599,default
rural,401,7.25,633,non-default
suburban,517,7.25,712,default
suburban,628,7,743,default
suburban,511,7.75,725,non-default
suburban,651,7.5,697,non-default
rural,1139,7.25,731,default
suburban,685,7.75,513,default
suburban,741,7.25,719,default
suburban,843,7.25,698,default
rural,1039,7.25,715,default
urban,524,6.5,775,non-default
suburban,672,7,718,non-default
urban,155,7.5,473,default
suburban,1016,7.25,660,default
rural,120,8,579,default
urban,297,7.25,588,non-default
rural,550,7.25,651,non-default
suburban,704,7.5,536,default
rural,484,7.5,629,default
urban,501,7,691,default
urban,304,7.75,436,default
suburban,669,7.5,415,default
suburban,576,7.25,587,default
suburban,278,6.5,645,non-default
urban,468,7,688,default
suburban,813,7.25,710,non-default
urban,285,7.5,590,default
urban,344,7.75,467,default
suburban,765,7.25,666,default
rural,398,6.25,529,non-default
rural,616,6.75,614,non-default
suburban,650,7.25,681,default
suburban,685,7.5,575,default
suburban,679,7.75,591,default
rural,711,7,628,non-default
suburban,1068,7.25,662,default
urban,310,7,682,non-default
suburban,713,7.5,548,default
suburban,385,7.25,608,default
rural,950,7.25,701,default
suburban,701,8.25,435,default
urban,587,8,582,default
suburban,586,7.75,526,default
suburban,355,7.75,546,default
rural,397,7,598,non-default
suburban,814,7.25,702,default
suburban,801,7.25,725,default
suburban,657,7.25,686,default
urban,144,7,427,default
suburban,396,8,624,default
urban,709,7,649,non-default
rural,1230,7.5,686,default
suburban,480,7.25,715,non-default
rural,377,7.25,536,non-default
suburban,683,7,663,non-default
suburban,816,7.25,621,default
suburban,728,7,680,non-default
rural,1139,7.25,696,default
suburban,765,7,719,non-default
rural,106,8,560,default
rural,199,7.75,602,non-default
suburban,309,7.25,617,non-default
suburban,870,7.25,732,non-default
rural,1057,7.25,691,default
suburban,959,7.25,626,default
rural,200,7.5,543,non-default
urban,702,7,813,non-default
suburban,284,7,585,non-default
suburban,259,6.75,663,non-default
suburban,474,7.25,664,non-default
rural,367,7.5,635,default
rural,549,7.5,630,non-default
urban,489,7.75,552,default
suburban,734,7.25,662,default
suburban,720,7.25,703,non-default
suburban,282,6.5,574,non-default
suburban,423,7.75,684,default
suburban,595,7.25,708,default
suburban,710,7.25,740,default
rural,713,6.5,638,non-default
suburban,1134,7.25,657,default
suburban,707,7.25,643,default
suburban,686,7.25,721,default
urban,493,7.25,579,default
suburban,649,7.25,705,non-default
rural,1244,7.25,728,default
suburban,703,7.25,629,non-default
urban,574,7.25,683,default
suburban,242,6.25,757,non-default
suburban,347,7.25,677,non-default
suburban,353,7,739,default
suburban,588,7.25,699,default
suburban,257,7.25,593,default
rural,577,7.25,637,non-default
urban,644,7.25,606,default
rural,421,7.25,604,non-default
suburban,770,7.5,620,default
suburban,370,7.25,645,non-default
urban,497,7.25,698,default
urban,547,7,728,non-default
rural,501,7,599,non-default
rural,318,7.25,630,non-default
urban,351,7,567,default
urban,244,7,478,non-default
rural,310,7.5,599,non-default
rural,762,7.75,405,non-default
suburban,602,7.25,769,default
suburban,575,7.25,627,default
urban,606,7.75,545,default
suburban,702,7.25,659,default
suburban,216,6.5,504,default
rural,445,7.25,529,non-default
suburban,801,7.25,637,default
rural,1174,7.5,686,default
rural,507,7.25,633,default
rural,394,7.5,616,non-default
suburban,596,7.5,533,default
urban,547,7.25,628,non-default
rural,438,7.5,546,default
suburban,729,7.75,537,default
suburban,755,7.25,738,default
urban,303,7,402,default
suburban,453,7.25,725,default
urban,249,7,557,default
suburban,617,7.25,682,non-default
suburban,743,7.5,604,non-default
suburban,743,6.75,709,non-default
suburban,420,7.25,746,default
rural,686,6.5,620,non-default
rural,516,7.25,631,non-default
rural,909,7.25,718,default
rural,1322,7.5,599,default
rural,533,6.75,645,non-default
urban,180,7,679,non-default
suburban,639,7.25,687,default
suburban,600,7.75,497,default
suburban,345,7.25,673,non-default
urban,231,7.25,551,default
suburban,788,7.5,628,default
urban,267,7,489,default
suburban,564,7.25,645,default
suburban,452,7.25,632,default
suburban,683,7,726,non-default
urban,193,8,735,non-default
urban,264,7.5,587,default
suburban,351,7.75,531,default
suburban,646,7,763,non-default
suburban,569,7.25,714,default
suburban,552,7.25,675,default
suburban,353,7.25,667,non-default
suburban,301,7.75,653,default
suburban,736,7.5,633,default
suburban,659,7,734,default
rural,224,8,467,non-default
suburban,271,6.5,688,non-default
suburban,701,7.25,667,default
urban,385,7.5,550,default
rural,483,7,640,non-default
urban,324,7,667,default
suburban,587,7.25,688,default
suburban,705,7.25,736,non-default
suburban,670,7,709,non-default
rural,552,7.25,615,non-default
suburban,305,6.75,733,non-default
rural,439,7.25,630,non-default
rural,582,7,626,non-default
suburban,597,7.25,561,default
urban,609,7.5,641,default
urban,103,8.25,664,default
suburban,588,7.25,675,default
suburban,364,7.75,562,default
suburban,396,7.25,651,non-default
urban,666,7,746,default
suburban,317,7.5,719,non-default
rural,584,7.25,618,non-default
urban,591,7.5,663,default
suburban,338,7.25,708,non-default
urban,574,7,729,non-default
suburban,1007,7,718,default
urban,467,7,706,default
suburban,376,8.25,519,default
urban,340,7,699,default
suburban,743,7.25,688,default
suburban,333,7.75,657,default
suburban,541,7.25,672,default
urban,306,7.25,507,default
suburban,806,7.25,684,non-default
suburban,494,6.75,688,non-default
suburban,813,7.25,731,default
rural,468,7.5,614,default
urban,477,7.25,628,default
urban,374,7.5,699,default
rural,140,7.75,597,default
suburban,763,7.25,684,default
suburban,859,7.25,695,non-default
suburban,288,8,633,default
suburban,368,7.25,564,default
suburban,588,8,535,default
rural,245,7.5,599,non-default
suburban,968,7.25,683,default
suburban,742,7.25,719,default
suburban,930,7.25,710,default
suburban,491,7.25,677,default
suburban,589,7,705,non-default
urban,431,7.25,554,default
suburban,380,7.25,582,default
urban,235,6.25,739,default
suburban,867,7.25,714,default
rural,644,7.5,630,non-default
suburban,403,7,735,default
rural,1206,7.25,694,default
suburban,813,7.5,602,default
rural,374,7.5,542,non-default
urban,400,7.5,409,default
urban,517,7.25,557,default
suburban,909,7.25,675,default
suburban,472,8,643,default
urban,220,7.5,537,default
suburban,873,7,699,non-default
suburban,810,7.25,740,default
suburban,398,7.5,634,non-default
suburban,316,7.5,662,default
rural,1136,7.5,702,default
rural,329,7.5,610,non-default
urban,594,7.5,708,default
rural,790,6.75,627,non-default
suburban,529,7,669,non-default
suburban,350,7.75,654,default
suburban,721,6.5,724,non-default
suburban,268,6.75,749,default
suburban,606,7.25,692,default
suburban,623,7.5,547,default
rural,332,6.75,546,non-default
suburban,299,7,675,default
suburban,658,7.25,659,default
suburban,351,7.5,632,default
urban,440,7.25,622,default
suburban,805,7.75,705,non-default
urban,483,7.5,705,default
suburban,790,7.25,698,non-default
suburban,653,7.25,719,default
rural,604,7,564,non-default
rural,303,7.5,600,non-default
suburban,342,7.5,661,default
urban,659,7.25,740,default
rural,192,7.75,604,default
urban,263,6.75,749,non-default
rural,704,6.75,661,non-default
urban,656,7.5,647,default
rural,254,7.75,666,default
suburban,454,8,569,default
rural,726,7,803,default
urban,255,7.75,462,default
suburban,606,7.25,702,default
urban,229,7.25,430,default
rural,466,7,535,default
urban,500,7.25,674,default
urban,636,7.25,674,default
rural,796,7.25,754,default
suburban,350,7.25,634,non-default
rural,983,7.5,711,default
rural,395,7.25,617,non-default
suburban,528,7.25,677,default
urban,657,7,703,non-default
suburban,656,7,692,non-default
rural,703,6.75,676,non-default
urban,548,7.25,674,default
urban,585,7.25,711,non-default
rural,1197,7.5,710,default
suburban,359,7,766,default
suburban,264,6.25,634,non-default
suburban,685,7,680,default
suburban,618,7,705,default
suburban,337,7.25,473,default
urban,470,7.25,686,default
suburban,897,7.25,698,default
urban,484,7,626,non-default
urban,239,6.75,571,default
rural,476,7.5,596,default
rural,283,7.5,600,non-default
urban,635,7.25,708,non-default
suburban,762,7.5,629,default
suburban,573,7.25,741,non-default
suburban,887,7.5,648,default
rural,579,7.25,647,non-default
suburban,447,7.25,695,non-default
urban,159,7.25,646,default
suburban,341,6.75,672,non-default
urban,278,7.25,514,default
urban,536,7,632,default
suburban,745,7,689,non-default
urban,275,7,648,default
rural,868,6.75,650,non-default
suburban,647,7.25,727,default
rural,939,6.5,643,non-default
suburban,470,6.25,637,non-default
suburban,793,7.25,705,default
urban,500,7.25,652,default
suburban,298,7.5,634,default
urban,673,7,731,default
suburban,521,7.25,679,default
suburban,779,7.25,655,default
suburban,744,7.25,719,default
suburban,476,7,699,default
suburban,352,7,662,non-default
suburban,892,7,774,non-default
urban,570,7.25,669,default
urban,477,7.5,635,default
rural,444,7.25,612,non-default
rural,822,7.25,724,default
urban,167,8,606,non-default
urban,565,7.25,720,non-default
suburban,660,7.5,552,default
suburban,534,7,691,default
urban,167,7,538,default
urban,617,6.75,697,non-default
suburban,446,7.5,668,default
urban,690,7.5,544,default
urban,436,7,725,default
suburban,442,7.5,698,non-default
urban,422,7,729,default
suburban,1010,7.25,695,default
suburban,851,7.25,696,default
rural,384,7.5,589,non-default
suburban,601,7,663,non-default
suburban,290,7.25,547,default
urban,469,7.5,574,default
rural,1176,7.25,705,default
suburban,209,7.75,623,default
suburban,250,7,477,default
suburban,213,7.25,801,non-default
suburban,418,7.25,682,default
suburban,422,7.75,687,non-default
suburban,589,7,715,default
suburban,611,7.25,722,default
suburban,315,7,595,default
suburban,663,7.25,626,non-default
suburban,743,7.25,677,non-default
suburban,866,7.25,725,default
suburban,932,8,629,non-default
urban,693,7.25,671,default
urban,543,7.25,548,default
suburban,688,7.25,699,non-default
suburban,576,7,672,non-default
urban,472,7.25,636,default
rural,580,6.5,573,non-default
suburban,310,7.25,659,non-default
suburban,417,7.25,596,non-default
urban,434,7,661,default
urban,497,7,639,non-default
suburban,583,7.25,810,default
urban,413,7.75,718,default
rural,429,7.25,593,non-default
suburban,610,7,703,default
urban,405,8,398,default
suburban,246,7.5,654,default
rural,518,7.25,612,non-default
suburban,175,6.25,675,non-default
rural,514,6.75,662,non-default
urban,557,7.25,612,default
suburban,707,7.5,622,default
urban,561,7.5,646,default
suburban,573,7.25,736,default
rural,353,7.5,511,non-default
urban,132,7.75,530,default
suburban,634,7,691,non-default
urban,154,7,498,default
suburban,807,7.25,672,default
suburban,875,7.75,705,non-default
urban,680,7.75,441,default
suburban,800,7.75,565,default
suburban,680,7,708,non-default
urban,356,7,690,non-default
suburban,475,7.25,688,non-default
rural,92,7.75,582,non-default
suburban,385,7.5,673,default
urban,560,7,669,default
rural,316,7.25,639,non-default
rural,635,7,643,non-default
rural,924,6.75,604,default
rural,660,7,578,non-default
urban,508,7.75,532,default
suburban,649,7.25,625,default
urban,396,7,732,default
suburban,892,7.25,656,default
urban,433,8,718,non-default
rural,367,7,686,non-default
rural,515,6.75,626,non-default
urban,525,7,654,non-default
suburban,929,7.25,748,default
rural,205,7.25,633,non-default
suburban,634,7.25,690,default
urban,386,7,601,default
suburban,463,7,711,default
suburban,338,7,569,non-default
rural,323,8,590,default
urban,520,7.25,671,default
suburban,741,7.25,672,default
suburban,335,7.5,660,default
suburban,632,7.5,551,default
rural,1174,7.25,649,default
suburban,730,7.25,694,default
suburban,573,7.25,586,non-default
suburban,348,7.5,657,non-default
suburban,639,7.25,623,non-default
urban,539,7.5,693,non-default
suburban,333,7.75,673,default
suburban,874,7.25,696,default
rural,609,6.5,645,non-default
urban,407,7.25,642,default
suburban,635,7,740,default
suburban,695,7.25,698,non-default
urban,504,7.25,635,default
suburban,666,7.25,656,non-default
suburban,951,7.25,675,default
suburban,199,7.25,623,non-default
urban,175,8,683,default
rural,513,7.25,598,non-default
suburban,735,7,695,default
urban,276,7.75,751,non-default
suburban,545,7,740,default
urban,211,7.25,536,default
urban,510,8,683,default
suburban,282,7,610,default
urban,458,7.5,716,default
suburban,739,6.75,692,non-default
suburban,673,7,704,non-default
suburban,794,7.5,550,default
suburban,519,7,704,default
suburban,461,7.75,638,default
rural,502,7,640,non-default
suburban,902,7.5,695,non-default
urban,377,7,692,non-default
rural,656,6.5,635,non-default
urban,568,7.25,664,default
suburban,435,7,581,non-default
suburban,600,7.25,714,default
rural,568,7,652,non-default
suburban,774,7.25,775,non-default
rural,533,7.25,632,non-default
suburban,541,8,639,default
suburban,665,7,695,non-default
urban,463,7,728,default
urban,487,7,685,default
rural,812,7.25,685,default
urban,409,7,626,non-default
rural,503,7.5,615,non-default
urban,227,7,691,default
suburban,850,7.5,586,non-default
rural,560,6.75,557,non-default
suburban,731,7.5,599,default
suburban,645,7.75,530,default
suburban,690,7.25,674,default
suburban,513,7.25,695,default
rural,437,7.25,609,non-default
rural,677,7.25,742,default
suburban,60,8,439,non-default
suburban,695,7.25,643,default
suburban,603,7.5,537,default
urban,392,7.75,524,default
rural,601,7,592,non-default
urban,530,7,631,default
suburban,371,7.75,666,default
suburban,824,7.25,707,default
suburban,647,7.25,710,default
suburban,342,7,702,non-default
suburban,862,7.25,701,default
suburban,642,7.25,663,non-default
suburban,441,7.5,647,non-default
suburban,307,7.25,529,non-default
rural,974,7.25,746,default
suburban,757,7.25,780,non-default
suburban,536,7.25,660,default
rural,934,7.25,706,default
suburban,632,7.25,676,default
rural,431,7.5,581,non-default
urban,106,7,692,non-default
suburban,366,7,562,default
suburban,1007,8,550,default
rural,602,7,548,non-default
suburban,902,7.25,706,default
rural,901,7.25,693,default
suburban,321,7.25,465,default
suburban,788,7.75,557,default
urban,315,7.5,575,default
urban,596,7.75,553,default
suburban,656,7.25,706,default
rural,374,7.5,645,default
rural,702,6.75,620,non-default
rural,631,7,608,non-default
suburban,1006,7.25,730,non-default
urban,576,7.5,566,default
rural,1180,7.5,678,default
suburban,606,7,781,default
urban,597,7.25,670,default
suburban,758,7.25,721,default
suburban,694,7.5,565,default
suburban,844,7.25,688,default
urban,275,7.5,754,default
suburban,398,7,714,default
rural,507,7.25,569,non-default
suburban,327,7.25,704,non-default
rural,421,7.25,591,non-default
urban,597,7.25,660,default
rural,448,7.5,577,non-default
rural,1046,7.5,686,default
suburban,291,7.25,581,default
rural,844,7.5,639,default
suburban,789,7.25,729,default
suburban,667,7.75,548,default
suburban,635,7.25,666,default
rural,980,7.25,699,default
urban,378,7,641,non-default
suburban,598,7.25,646,default
urban,323,7,686,non-default
suburban,414,7.25,648,non-default
suburban,416,7.5,602,default
suburban,489,7,706,default
rural,300,7.25,843,default
suburban,381,7.25,578,non-default
suburban,578,7.25,685,default
suburban,495,7.25,721,non-default
urban,473,7.25,683,default
suburban,257,6.5,619,non-default
suburban,613,7.25,663,non-default
suburban,481,7,678,non-default
suburban,317,7.25,551,non-default
suburban,642,7.25,649,default
rural,427,7.25,580,non-default
rural,666,7,634,non-default
suburban,870,6.5,719,non-default
suburban,790,6.75,667,non-default
urban,402,7.25,736,non-default
suburban,327,7.5,666,default
suburban,825,7.25,670,default
suburban,523,7.25,678,default
suburban,726,7.25,741,default
suburban,767,7.25,687,default
suburban,430,7.25,728,default
rural,985,7.25,704,default
urban,281,7,624,non-default
rural,1014,7.25,742,default
urban,248,7,686,default
urban,242,7,725,default
urban,632,7,721,non-default
suburban,1034,7.75,601,non-default
suburban,497,7.25,684,non-default
suburban,678,7,693,default
rural,517,7,783,non-default
urban,508,7.25,661,non-default
suburban,801,7.5,548,default
urban,173,7,561,default
urban,472,7,651,default
suburban,386,7.25,673,non-default
suburban,359,7.25,700,non-default
suburban,543,7.25,658,non-default
suburban,688,7.25,702,default
urban,473,7.25,581,default
suburban,294,6.75,694,non-default
suburban,610,7.5,621,non-default
suburban,671,7.75,509,default
urban,701,7.25,721,default
suburban,853,7,805,default
suburban,215,6.75,589,default
suburban,681,7.5,781,non-default
rural,404,7.5,715,non-default
rural,525,7,650,non-default
suburban,636,7.25,662,non-default
suburban,910,7.5,678,non-default
rural,570,7,650,non-default
suburban,401,7,575,non-default
suburban,435,7.25,733,non-default
rural,1222,6,689,non-default
suburban,865,7.25,665,default
suburban,455,7.75,646,non-default
rural,847,7.25,716,default
suburban,514,8.25,594,default
rural,536,6.75,573,non-default
suburban,511,7.25,653,default
suburban,216,6.5,585,default
rural,261,7.75,677,default
rural,448,7,585,non-default
urban,592,7.5,577,default
suburban,293,7,601,non-default
suburban,797,7,721,default
suburban,375,7.25,775,default
urban,491,7.5,594,default
suburban,787,7.25,708,default
suburban,559,7.25,676,default
suburban,765,7.25,660,default
suburban,399,7.25,618,non-default
urban,541,7.25,660,default
rural,395,7.5,592,non-default
urban,414,7,602,default
urban,372,7,678,non-default
urban,351,7.75,714,default
rural,666,7,609,non-default
rural,438,7.75,558,non-default
suburban,166,6.25,575,non-default
urban,256,7.5,505,default
urban,471,7,664,non-default
suburban,836,7.25,694,default
rural,266,7.25,732,default
urban,563,7.25,614,default
suburban,347,7.5,625,default
rural,484,6.75,803,non-default
suburban,449,7.25,693,non-default
rural,945,7.5,683,default
suburban,999,7.5,607,default
suburban,915,7.25,667,default
suburban,796,7.25,667,default
suburban,483,7.25,698,default
suburban,404,7,673,non-default
suburban,572,7,775,default
rural,1034,7.5,716,default
suburban,592,7.25,700,default
suburban,473,8.25,617,default
suburban,876,8,513,default
rural,572,7.5,579,non-default
urban,403,7.5,450,default
suburban,556,7.25,465,non-default
suburban,707,7.25,602,default
suburban,608,7.75,466,default
suburban,728,7,734,default
rural,499,7.25,320,non-default
urban,286,7.25,643,non-default
suburban,316,7.25,676,default
suburban,801,6.5,708,non-default
suburban,438,7,745,default
suburban,348,7.25,558,default
suburban,330,7.5,700,default
urban,713,7,751,default
suburban,828,7.25,692,default
suburban,375,7.5,551,default
suburban,709,7.25,729,default
urban,406,7,637,non-default
suburban,700,7,735,default
rural,145,8,599,default
urban,265,8.5,762,non-default
urban,517,7.5,511,default
suburban,616,7.25,690,default
suburban,696,7.5,646,default
suburban,611,7.75,798,non-default
urban,418,7.25,637,non-default
urban,516,7.5,485,default
suburban,657,7.25,718,default
rural,844,7.25,760,default
rural,80,8.25,569,default
suburban,964,7.25,649,default
suburban,653,7.25,767,default
